A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Job 42:16,Birth of Job,"This is the estimated DFC year of the birth of Job. Job lives for 140 years after the events mentioned in the Book of Job. It is estimated that Job dies at about 200 years old. Like all DFC and EDFC dates in the Bible Timeline, the Calendar Day Number (CD#1) is one-fifth of the number of completed years since Creation Day 3 of Creation Week. At this point in the Bible timeline, one-fifth of the completed years since Creation Day 3 would be 365. Since there are only 364 Calendar Day Numbers, 364 must be subtracted resulting in CD#1 as the DFC date for this year. CD#1 is the DFC date for events happening between 2291 BC and 2287 BC.",EDFC,1,1825,664304,Thursday,October,17,Creation Day,4,2290,BC,Thursday,August,10,Av,23,2282,BC,N,294,888162.75,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Genesis 11:22; Luke 3:34-35,Birth of Nahor-Son of Serug,"The DFC date for the birth of Nahor is 30 years plus six days after the birth of his father, Serug. Nahor is the father of Terah. At this point in the Bible timeline, one-fifth of the completed years since Creation Day 3 would be 370. Since there are only 364 Calendar Day Numbers, 364 must be subtracted resulting in CD#6 as the DFC date for this year. CD#6 is the DFC date for events happening between 2266 BC and 2262 BC. ",DFC,6,1850,673409,Tuesday,October,22,Heshvan,2,2265,BC,Tuesday,July,14,Tammuz,27,2257,BC,L,269,897267.75,25,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Genesis 11:24; Luke 3:34,Birth of Terah-Son of Nahor,"The DFC date for the birth of Terah is 29 years plus six days after the birth of his father, Nahor. Terah is the father of Abraham. CD#12 is the DFC date for events happening between 2236 BC and 2232 BC.",DFC,12,1879,683971,Monday,October,28,Heshvan,8,2236,BC,Monday,June,14,Sivan ,25,2228,BC,N,237,907829.75,29,6,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Job 1:1-42:11,Estimated Date for the Book of Job,This estimated date for the main events in the Book of Job places these events about 85 years after the Tower of Babel and 64 years before the birth of Abraham. It is estimated that Job is about 60 years old and would live another 140 years. CD#13 is the DFC date for events happening between 2231 BC and 2227 BC.,EDFC,13,1885,686156,Tuesday,October,29,Heshvan,9,2230,BC,Tuesday,June,8,Sivan,19,2222,BC,N,231,910014.75,6,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Genesis 11:26; Luke 3:34,Birth of Abraham-Son of Terah,"The birth of Abraham begins a period of 290 DFC years plus 58 days until Jacob’s arrival in Egypt at the age of 130 to join Joseph. Abraham is born when his father, Terah, is 70 years old. Abraham is the father of Isaac. Many commentaries erroneously claim that Terah is 130 when Abraham is born. This 60 year error has gone often unchallenged since it was introduced by James Ussher in his 17th century dating of the events in Biblical and world history. Ussher’s error triggered a series of mathematical miscalculations in the start of the Babylonian Exile in 588 BC and the rebuilding of the Jerusalem Temple in 515 BC. Even though most of Ussher’s dates prior to 454 BC have proven incorrect, these three main errors remain firmly entrenched in modern Bible chronology. Ussher’s calculation of the number of years from Creation until the birth of Jesus was 3,999. Instead, the correct number of solar years is 4,096 which are clearly stated in the Biblical text (See Exact Years Chart in Chapter 29). This error was the main stumbling block of subsequent attempts at calculating an accurate Bible chronology. The correction of this mathematical error was extremely difficult prior to the invention of the computer and an Excel spreadsheet. This Monday, November 11–Heshvan 22 date is also the birth date of Seth (3985 BC), the son of Adam, and King David (1040 BC). CD#26 is the DFC date for events between 2166 BC and 2162 BC.",DFC,26,1949,709465,Monday,November,11,Heshvan,22,2166,BC,Monday,April,3,Nisan,12,2158,BC,N,165,933323.75,64,13,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Genesis 17:17,Birth of Sarah-Wife of Abraham,Scripture is very clear in Genesis 17:17 that Sarah is ten years younger than her husband Abraham. CD#28 is the DFC date for events happening between 2156 BC and 2152 BC.,DFC,28,1959,713107,Wednesday,November,13,Heshvan,24,2156,BC,Wednesday,March,23,Nisan,1,2148,BC,N,154,936965.75,10,2,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Genesis 11:18-19,Death of Peleg-Son of Eber at 239,The DFC date of the death of Peleg is 239 years and 48 days from his birth. CD#35 is the DFC date for events happening between 2121 BC and 2117 BC.,DFC,35,1997,726946,Wednesday,November,20,Kislev,1,2118,BC,Wednesday,February,11,Shevat,21,2110,BC,N,114,950804.75,38,7,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Genesis 11:22-25,Death of Nahor-Son of Serug at 148,The DFC date of the death of Nahor is 148 years and 30 days from his birth. CD#35 is the DFC date for events happening between 2121 BC and 2117 BC.,DFC,35,1998,727310,Wednesday,November,20,Kislev,1,2117,BC,Wednesday,February,10,Shevat,21,2109,BC,L,114,951168.75,1,0,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Genesis 9:28-29,Death of Noah-Son of Lamech at 950,The DFC date of the death of Noah is 950 years and 190 days from his birth. CD#37 is the DFC date for events happening between 2111 BC and 2107 BC.,DFC,37,2007,730588,Friday,November,22,Kislev,3,2108,BC,Friday,February,1,Shevat,11,2100,BC,N,104,954446.75,9,2,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Genesis 12:4-6,Abraham Leaves Haran at 75,"When Abraham leaves his father in Haran at the age of 75, his Father, Terah is 145 years old. Abraham’s wife Sarah is 65 years old at the time of this event. Terah would die 60 years later at the age of 205. Sarah would die two years after the death of Terah at the age of 127. At the death of Sarah, Abraham moves from Beersheba to Hebron in Canaan, clarifying the text of Acts 7:2-4. CD#41 is the DFC date for events happening between 2091 BC and 2087 BC.",DFC,41,2024,736780,Tuesday,November,26,Kislev,7,2091,BC,Tuesday,January,15,Tevet,23,2083,BC,N,87,960638.75,17,4,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Job 42:16-17,Estimated Death of Job at 200,The Book of Job states that Job lived for 140 years after the events described in the Book with his name. CD#41 is the DFC date for events happening between 2091 BC and 2087 BC.,EDFC,41,2025,737144,Tuesday,November,26,Kislev,7,2090,BC,Tuesday,January,14,Tevet,22,2082,BC,N,86,961002.75,1,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Genesis 11:20-21,Death of Reu-Son of Peleg at 239,The DFC date of the death of Rue is 239 years and 48 days from his birth. CD#41 is the DFC date for events happening between 2091 BC and 2087 BC.,DFC,41,2027,737872,Tuesday,November,26,Kislev,7,2088,BC,Tuesday,January,11,Tevet,19,2080,BC,N,41,961730.75,2,0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Genesis 16:16,Birth of Ishmael-Son of Abraham at 86,"The DFC date for the birth of Ishmael is 86 years plus 17 days after the birth of his father, Abraham. Ishmael is the father of Nebajoth, Kedar, Adbeel, Mibsam, Mishma, Dumah, Massa, Hadar, Tema, Jetur, Naphish, and Kedemah, according to Genesis 25:13-15. CD#43 is the DFC date for events happening between 2081 BC and 2077 BC.",DFC,43,2035,740786,Thursday,November,28,Kislev,9,2080,BC,Thursday,January,3,Tevet,11,2072,BC,N,78,964644.75,8,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Genesis 17:1-14; Acts 7:8,Covenant of Circumcision With Abraham ,Abraham visited by angels at the age of 99. The Covenant of Circumcision is established during this visit. CD#45 is the DFC date for events happening between 2071 BC and 2067 BC.,DFC,45,2048,745520,Saturday,November,30,Kislev,11,2067,BC,Saturday,December,20,Kislev,28,2060,BC,N,62,969378.75,13,2,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Genesis 17:15-22; Romans 9:8-9,Abraham Promised Son by Sarah in One Year,All males in Abraham’s household were circumcised. CD#45 is the DFC date for events happening between 2071 BC and 2067 BC.,DFC,45,2048,745520,Saturday,November,30,Kislev,11,2067,BC,Saturday,December,20,Kislev,28,2060,BC,N,62,969378.75,0,0,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Genesis 17:24-25,Ishmael Circumcised at 13,This event happens thirteen years and two days after the DFC date of Ishmael’s date of birth. CD#45 is the DFC date for events happening between 2071 BC and 2067 BC.,DFC,45,2048,745520,Saturday,November,30,Kislev,11,2067,BC,Saturday,December,20,Kislev,28,2060,BC,N,62,969378.75,0,0,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Genesis 18:1-15; Hebrews 13:2,Abraham Sees Lord by Terebinth Trees of Mamre,,EST,53,2048,745528,Sunday,December,8,Kislev,19,2067,BC,Sunday,December,28,Tevet ,6,2060,BC,N,70,969386.75,0,8,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Genesis 18:16-33; Hebrews 13:2,Angels Leave Abraham and Journey to Sodom ,Abraham pleads to the Lord to spare the people of Sodom.,EST,54,2048,745529,Monday,December,9,Kislev,20,2067,BC,Monday,December,29,Tevet,7,2060,BC,N,71,969387.75,0,1,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Gen. 19:23-25; Jer.50:40; 2 Pet. 2:6; Jude 5:7,Sodom and the Cities of the Plains Destroyed  ,"God destroys the cities of the Plains, described in Chapter 19 of Genesis. A modern day visitor to Masada can visually see the ruins of several of these white sulfur covered cities.",EST,58,2048,745533,Friday,December,13,Kislev,24,2067,BC,Friday,January,2,Tevet,11,2059,BC,N,75,969391.75,0,4,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Genesis Chapter 20,Abraham and Sarah and King of Gerar,"King Abimelech of Gerar takes Sarah into his harem. It is estimated that during the next two months, Abraham and Sarah live in Gerar, as described in Chapter 20 of Genesis. ",EST,110,2048,745585,Monday,February,5,Shevat,17,2066,BC,Monday,February,23,Adar,4,2059,BC,N,127,969443.75,0,52,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Genesis 21:1-2,Sarah Conceives Isaac,This date is 266 days before the DFC date for the birth of Isaac.,EST,144,2048,745619,Sunday,March,9,Adar,21,2066,BC,Sunday,March ,29,Nisan,8,2059,BC,N,161,969477.75,0,34,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Genesis 21:1-5; Luke 3:34,Birth of Isaac-Son of Abraham,"The DFC date for the birth of Isaac is 100 years plus 20 days after the birth of his father, Abraham. Isaac is the father of Jacob and Esau. CD#46 is the DFC date for events happening between 2066 BC and 2062 BC.",DFC,46,2049,745885,Sunday,December,1,Kislev,12,2066,BC,Sunday,December,20,Kislev,28,2059,BC,N,62,969743.75,0,266,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Genesis 21:4,Isaac Circumcised,"Isaac, son of Abraham and Sarah, is circumcised eight days after birth in obedience to God’s command in Genesis 17:12.",MDFC+8,54,2049,745893,Monday,December,9,Kislev,20,2066,BC,Monday,December,28,Tevet,6,2059,BC,N,70,969751.75,0,8,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Genesis 11:20-23,Death of Serug-Son of Reu at 230,The DFC date of the death of Serug is 230 years and 46 days from his birth. CD#46 is the DFC date for events happening between 2066 BC and 2062 BC.,DFC,46,2050,746249,Sunday,December,1,Kislev,12,2065,BC,Sunday,December,19,Kislev,27,2058,BC,N,61,970107.75,0,356,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Genesis 11:24-32,Death of Terah-Son of Nahor at 205,"The DFC date of the death of Terah is 205 years and 41 days from his birth. Some Bible commentators mistakenly show Terah as having already died when Abraham leaves Haran at the age of 75, sixty years earlier. According to Scripture, Terah is 145 years old when Abraham leaves Haran. CD#53 is the DFC date for events happening between 2031 BC and 2027 BC.",DFC,53,2084,758632,Sunday,December,8,Kislev,19,2031,BC,Sunday,November,13,Heshvan ,21,2024,BC,N,25,982490.75,34,7,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Genesis 23:1-20; Acts 7:2-4; Hebrews 11:8-10,Death of Sarah-Wife of Abraham at 127,"The DFC date of the death of Sarah is 127 years and 25 days from her birth. The accurate DFC dating of Sarah’s death and Abraham’s move to Hebron are extremely important dates in the study of Bible chronology. At the time of Sarah’s death in Hebron, Abraham was probably living in Beersheba, according to Genesis 21:33-34. It is not clear whether or not Beersheba was considered as part of Canaan or outside the border at this time in history. Genesis 23:19 makes it clear that Hebron is in Canaan when Abraham moves there at the time of Sarah’s death. The death of Sarah happens two years after the death of Abraham’s father, Terah. Abraham would remain in Hebron until his death, thirty-eight years later, at the age of 175. This dating of this event clarifies Acts 7:2-4 and Hebrews 11:8-10. These verses in the New Testament show that God moves Abraham to Canaan after the death of his father, Terah. CD#53 is the DFC date for events happening between the years 2031 BC and 2027 BC.",DFC,53,2086,759360,Sunday,December,8,Kislev,19,2029,BC,Sunday,November,11,Heshvan ,19,2022,BC,N,23,983218.75,2,0,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Genesis 25:19-20,Isaac Takes Rebekah as a Wife at 40 ,Isaac takes Rebekah as a wife forty DFC years and eight days after his DFC date of birth. CD#54 is the DFC date for events happening between 2026 BC and 2022 BC.,DFC,54,2089,760453,Monday,December,9,Kislev,20,2026,BC,Monday,November,8,Heshvan ,16,2019,BC,N,20,984311.75,3,1,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Genesis 11:10-13,Death of Arphaxad-Son of Shem at 438,The DFC date of the death of Arphaxad is 438 years and 87 days from his birth. CD#55 is the DFC date for events happening between 2021 BC and 2017 BC.,DFC,55,2097,763366,Tuesday,December,10,Kislev,21,2018,BC,Tuesday,October,30,Heshvan ,7,2011,BC,N,11,987224.75,8,1,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Genesis 25:24-26,Birth of Jacob and Esau-Sons of Isaac,"Isaac is 60 years old and 12 days when his twin sons, Jacob and Esau, are born. Jacob would be the father of the 12 tribes of Israel. Esau would be the ancestor of the Edomites. CD#58 is the DFC date for events happening between 2006 BC and 2002 BC.",DFC,58,2109,767737,Friday,December,13,Kislev,24,2006,BC,Friday,October,18,Creation Day,2,1999,BC,N,363,991595.75,12,3,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Genesis 25:7-11,Death of Abraham-Son of Terah at 175,The DFC date of the death of Abraham is 175 years and 35 days from his birth. CD#61 is the DFC date for events happening between 1991 BC and 1987 BC.,DFC,61,2124,773200,Monday,December,16,Kislev,27,1991,BC,Monday,October,2,Tishri,17,1984,BC,N,347,997058.75,15,3,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Genesis 11:12-15; Luke 3:36,Death of Salah-Grandson of Arphaxad at 433,The DFC date of the death of Salah is 433 years and 86 days from his birth. CD#61 is the DFC date for events happening between 1991 BC and 1987 BC.,DFC,61,2127,774292,Monday,December,16,Kislev,27,1988,BC,Monday,September ,28,Tishri,15,1981,BC,L,345,998150.75,3,0,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Genesis 26:34-35,Esau Marries Two Hittite Women,The marriage of Esau at the age of forty DFC years plus eight days to pagan women caused Isaac and Rebekah great sorrow. Esau married two Hittite women: Judith the daughter of Beeri and Basemath the daughter of Elon. Basemath may be Ishmael’s granddaughter since she is also listed as the sister of Nebajoth. The exact relationship is not clear and is a little confusing when looking at a commentary on the wives of Esau. CD#66 is the DFC date for events happening between 1966 BC and 1962 BC.,DFC,66,2149,782305,Saturday,December,21,Tevet,2,1966,BC,Saturday,September ,6,Elul,20,1959,BC,N,321,1006163.75,22,5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Genesis 11:10-11,Death of Shem-Son of Noah at 600,The DFC date of the death of Shem is 600 years and 120 days from his birth. CD#68 is the DFC date for events happening between 1956 BC and 1952 BC.,DFC,68,2159,785947,Monday,December,23,Tevet,4,1956,BC,Monday,August,26,Elul,11,1949,BC,L,312,1009805.75,10,2,67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Genesis 25:17,Death of Ishmael-Son of Abraham at 137,The DFC date of the death of Ishmael is 137 years and 27 days from his birth. CD#70 is the DFC date for events happening between 1946 BC and 1942 BC.,DFC,70,2172,790681,Wednesday,December,25,Tevet,6,1943,BC,Wednesday,August,12,Av,25,1936,BC,N,296,1014539.75,13,2,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Genesis 27:1-40,Isaac Blesses Jacob While Trying to Bless Esau,"Isaac at 137 tries to bless Esau, who is 77 years old, but blesses Jacob instead. Jacob leaves for Haran to find a wife among the daughters of Laban. CD#73 is the DFC date for events happening between 1931 BC and 1927 BC.",DFC,73,2186,795780,Saturday,December,28,Tevet,9,1929,BC,Saturday,July,29,Av,11,1922,BC,N,282,1019638.75,14,3,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Genesis 27:41-28:5,Isaac Sends Jacob Away to Find a Wife,Isaac sends Jacob away to protect him from Esau’s anger and reduce the chances of Jacob marrying a Canaanite woman.,EST,74,2186,795781,Sunday,December,29,Tevet,10,1929,BC,Sunday,July,30,Av,12,1922,BC,N,283,1019639.75,0,1,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Genesis 28:10-21,Jacob's ladder Dream and Vow at Bethel,,EST,76,2186,795783,Tuesday,January,1,Tevet,12,1928,BC,Tuesday,August,1,Av,14,1922,BC,N,285,1019641.75,0,2,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Genesis 29:1-14,Jacob Meets Rachel-Daughter of Laban,Jacob is 77 years old when he meets Rachel.,EST,84,2186,795791,Wednesday,January,9,Tevet,20,1928,BC,Wednesday,August,9,Av,22,1922,BC,N,293,1019649.75,0,8,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Genesis 28:6-9; 25:13; 36:3,Esau Marries Two Daughters of Ishmael,"Genesis 25:13 and 28:9 gives confirmation that Nebajoth is the oldest son of Ishmael. These verses, along with Genesis 36:3, state that Mahalath and Basemath are sisters of Nebajoth. Both daughters of Ishmael married Esau. It is likely that Esau negotiated these marriages with Ishmael's son, Nebajoth since Ishmael had died 14 years earlier.",EST,87,2186,795794,Saturday,January,12,Tevet,23,1928,BC,Saturday,August,12,Av,25,1922,BC,N,296,1019652.75,0,3,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Genesis 29:15-30,Jacob Marries Leah and Rachel,Jacob begins fathering his children even though the bridal payment will not be completely paid for another fourteen years.,EST,114,2186,795821,Friday,February,9,Shevat,21,1928,BC,Friday,September ,8,Elul,22,1922,BC,N,323,1019679.75,0,27,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Genesis 29:32,Birth of Reuben-First Son of Jacob,"Reuben, first son of Jacob, is born to Leah when Jacob is 78 DFC years old and 238 days. This is an estimated date.",EST,296,2187,796367,Friday,August,9,Av,25,1927,BC,Friday,March,7,Adar,15,1920,BC,N,138,1020225.75,1,182,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Genesis 11:14-17,Death of Eber-Son of Salah at 464,The DFC date of the death of Eber is 464 years and 92 days from his birth. CD#73 is the DFC date for events happening between 1931 BC and 1927 BC.,DFC,73,2188,796508,Saturday,December,28,Tevet,9,1927,BC,Saturday,July,26,Av,8,1920,BC,N,279,1020366.75,0,141,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Genesis 29:33,Birth of Simeon-Second Son of Jacob,Simeon is born to Leah when Jacob is 80 DFC years and 16 days old. CD#74 is the DFC date for events happening between 1926 BC and 1922 BC.,DFC,74,2189,796873,Sunday,December,29,Tevet,10,1926,BC,Sunday,July,26,Av,8,1919,BC,N,279,1020731.75,1,1,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Genesis 29:34,Birth of Levi-Third Son of Jacob,Levi is a direct ancestor of Moses and is born to Leah in the 81st DFC year of Jacob. CD#74 is the DFC date for events happening between 1926 BC and 1922 BC.,DFC,74,2190,797237,Sunday,December,29,Tevet,10,1925,BC,Sunday,July,25,Av,7,1918,BC,N,278,1021095.75,1,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Genesis 29:35,Birth of Judah-Fourth Son of Jacob,Judah is a direct ancestor of Jesus and born in the 82nd DFC year of Jacob. CD#74 is the DFC date for events happening between 1926 BC and 1922 BC.,DFC,74,2191,797601,Sunday,December,29,Tevet,10,1924,BC,Sunday,July,23,Av,7,1917,BC,L,278,1021459.75,1,0,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Genesis 30:5-6,Birth of Dan-Fifth Son of Jacob,"Dan is born two years after Judah in the 84th DFC year of Jacob. The mother of Dan is Bilhah, the maid of the still barren Rachel. CD#74 is the DFC date for events happening between 1926 BC and 1922 BC.",DFC,74,2193,798329,Sunday,December,29,Tevet,10,1922,BC,Sunday,July,21,Av,3,1915,BC,N,274,1022187.75,2,0,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Genesis 30:7-8,Birth of Naphtali-Sixth Son of Jacob,"Naphtali is born one year after Dan when Jacob is 85 DFC years. Naphtali is the second son of Bilhah, the maid of Rachel who is still unable to conceive. CD#75 is the DFC date for events happening between 1921 BC and 1917 BC.",DFC,75,2194,798694,Monday,December,30,Tevet,11,1921,BC,Monday,July,21,Av,3,1914,BC,N,274,1022552.75,1,1,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Genesis 30:9-11,Birth of Gad-Seventh Son of Jacob,"Gad is born one year after Naphtali when Jacob is 86 DFC years old and 17 days. Gad is born to Zilpah, the maid of Leah, who has not conceived for four years. CD#75 is the DFC date for events happening between 1921 BC and 1917 BC.",DFC,75,2195,799058,Monday,December,30,Tevet,11,1920,BC,Monday,July,19,Av,3,1913,BC,L,274,1022916.75,1,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Genesis 30:12-13,Birth of Asher-Eighth Son of Jacob,"Asher is born one year after Gad when Jacob is 87 DFC years old. Asher is the second son born to Zilpah, the maid of Leah who has not conceived for five years. CD#75 is the DFC date for events happening between 1921 BC and 1917 BC.",DFC,75,2196,799422,Monday,December,30,Tevet,11,1919,BC,Monday,July,18,Tammuz,29,1912,BC,N,271,1023280.75,1,0,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Genesis 30:17-18,Birth Issachar-Ninth Son of Jacob,"Issachar is born one year after Asher, when Jacob is 88 DFC years old, and is the fifth son born to Leah. CD#75 is the DFC date for events happening between 1921 BC and 1917 BC.",DFC,75,2197,799786,Monday,December,30,Tevet,11,1918,BC,Monday,July,17,Tammuz,28,1911,BC,N,270,1023644.75,1,0,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Genesis 30:19-20,Birth of Zebulun-Tenth Son of Jacob,"Zebulun is born one year plus one day after Issachar, when Jacob is 89 DFC years old, and is the sixth son born to Leah. It is important to note that this one year plus one day goes from December 30 of 1918 BC to January 1 of 1916 BC. CD#76 is the DFC date for events happening between 1916 BC and 1912 BC. ",DFC,76,2198,800151,Tuesday,January,1,Tevet,12,1916,BC,Tuesday,July,17,Tammuz,28,1910,BC,N,270,1024009.75,1,1,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Genesis 30:21,Birth of Dinah-First Daughter of Jacob,"Dinah, the first daughter of Jacob, is born to Leah one year after Zebulun when Jacob is 90 DFC years old. Genesis 37:5 and 46:7 tells about other unnamed daughters born to Jacob. CD#76 is the DFC date for events happening between 1916 BC and 1912 BC.",DFC,76,2199,800515,Tuesday,January,1,Tevet,12,1915,BC,Tuesday,July,15,Tammuz,28,1909,BC,L,270,1024373.75,1,0,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Genesis 30:23-24,Birth of Joseph-First Son of Jacob and Rachel ,"Joseph is the first of two sons born to Rachel and Jacob’s favorite son. Joseph is the eleventh of Jacob’s sons. It is important to note that when Joseph is born, the age of his father is not mentioned. This is the first time that the age of the father is not mentioned, in the dating of the descendants in the sacred line of the patriarchs, since the creation of Adam and Eve. From the events that occur at the time Jacob arrives in Egypt, it can be calculated from the text of Scripture that Jacob is 91 DFC years old when Joseph is born. Jacob would meet Pharaoh thirty-nine years later, when he and his sons would join Joseph in Egypt. The footnotes in the MacArthur Study Bible accurately date this event in 1914 BC. This research states that the DFC date of this event is Tuesday January 1 – Tevet 12, 1914 BC on the 364-Day calendar consistent with Scripture. CD#76 is the DFC date for events happening between 1916 BC and 1912 BC.",DFC,76,2200,800879,Tuesday,January,1,Tevet,12,1914,BC,Tuesday,July,14,Tammuz,25,1908,BC,N,267,1024737.75,1,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Genesis 31:1-21, 38-41",Jacob Leaves Laban,Jacob takes his family and livestock after serving Laban for twenty years and heads for Canaan. Jacob is 97 DFC years old. CD#77 is the DFC date for events happening between the years 1911 BC and 1907 BC.,DFC,77,2206,803064,Wednesday,January,2,Tevet,13,1908,BC,Wednesday,July,8,Tammuz,19,1902,BC,N,261,1026922.75,6,1,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Genesis 31:22-23,Laban Pursues Jacob on Third Day,,EST,80,2206,803067,Saturday,January,5,Tevet,16,1908,BC,Saturday,July,11,Tammuz,22,1902,BC,N,264,1026925.75,0,3,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Genesis 31:22-35,Laban Catches Jacob After Seven Days,Laban searches for items stolen by Rachel but does not find them. ,EST,87,2206,803074,Saturday,January,12,Tevet,23,1908,BC,Saturday,July,18,Tammuz,29,1902,BC,N,271,1026932.75,0,7,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
