year,title,era,type,region,summary,confidence
565,Zephaniah Speaks as a Prophet,EDFC,EDFC,,"Zephaniah begins to speak as a Prophet in the seventeenth year of King Josiah. Zephaniah is the great-grandson of King Hezekiah and would have had royal access as a consultant and Prophet to Josiah. Four year earlier, Jeremiah had begun to speak publically as a Prophet. Josiah became king when he was eight years old and essentially continued the ungodly practices of his father and grandfather. Zephaniah calls the nation to repentance and warns of impending judgment. The following year, Hilkiah finds the Book of the Law and reads it to King Josiah. Josiah responds by initiating reforms in Temple Worship. Josiah’s repentance and complete return to the true worship of God was well received by God and many in the nation of Israel.",
569,Jeremiah Begins as Prophet in 13th Year of Josiah,DFC,DFC,,"This DFC date for the start of Jeremiah as a Prophet, in the thirteenth year of King Josiah, is extremely important in dating the reigns of the Southern Kings of Israel and the events of the Babylonian Exile. This DFC date becomes an anchor date for calculating many of the dated events found in the Books of Ezekiel, Daniel, and Jeremiah. This event happens thirteen accession years and sixty-three days into the calculated start date of the reign of Southern King Josiah.",
575,Birth of King Jehoiakim (South),DFC,DFC,,Jehoiakim would become king of the Southern Kingdom in twenty-five years and reign for eleven years. This DFC date for the birth of Jehoiakim is extremely important in dating the reigns of the Southern Kings of Israel and the events of the Babylonian Exile. This DFC date becomes an anchor date for calculating many of the dated events found in the Book of Ezekiel.,
582,Reign of King Amon (South) Ends,EST,EST,,The reign of Southern King Amon (South) lasts two years and 334 days.,
582,Reign of King Josiah (South) Begins,EST,EST,,Josiah is eight years old when he becomes King. The dating of King Josiah’s reign is critical to the accurate dating of other Kings and many of the events that happen during the Babylonian Exile.,
585,Reign of King Manasseh (S) Ends,EST,EST,,"The reign of King Manasseh lasts fifty-five years and 360 days. King Manasseh’s son, Amon, reigns in his place upon his death. King Manasseh sets an example to the nation of Israel of how God responds to a repentant heart.",
585,Reign of King Amon (South) Begins,EST,EST,,Amon was twenty-two when he became King.,
589,Nahum Predicts Fall of Nineveh,EDFC,EDFC,,"Dating the Book of Nahum is very difficult. It appears that Nahum followed a few years after the Prophet Isaiah. It is estimated that Nahum gives his prophecy, regarding the fall of Nineveh, near the end of the reign of King Manasseh of Southern Israel. The entire Book of Nahum is dedicated to the prediction of the fall of Assyria and its capital at Nineveh. According to this Bible Timeline research, Nineveh falls in 552 BC. Nahum is possibly from the Northern part of Israel. It is also possible that the name of the city of Capernaum, near the town of Nazareth, is connected to this Prophet. CD#341 is the DFC and EDFC date for events happening between 591 BC and 587 BC.",
591,Birth of King Josiah (South),EDFC,EDFC,,Josiah would become king almost nine years later.,
599,King Manasseh Restores Proper Worship to God,EDFC,EDFC,,King Manasseh took away the altars to foreign Baal gods in the Temple and restored proper worship to the Lord. CD#339 is the DFC and EDFC date for events happening between 601 BC and 597 BC.,
604,King Manasseh Rebuilds Wall on the West Side of Gihon.,EDFC,EDFC,,King Manasseh rebuilt the wall protecting Gihon and enclosed Ophel to a great height. The cities of Judah were fortified with an increased military presence. CD#338 is the DFC and EDFC date for events happening between 606 BC and 602 BC. This is a very important DFC date in the Kings of Israel.,
608,Birth of King Amon (South),EDFC,EDFC,,Amon would become King of the Southern Kingdom almost twenty-three DFC years later.,
609,Manasseh Taken With Hooks to Babylon,EST,EST,,"The Assyrians were well known for their ability to torture. Hooks were often placed in a prisoner's nose. King Manasseh is clearly tortured when the text says, ""he was in affliction"". God’s retribution for King Manasseh’s idolatry was quick and set an example.",
609,King Manasseh Repents and God Responds,EST,EST,,Manasseh repents for his ungodly leadership in Israel. God hears his prayer and preparations are made to return King Manasseh to Jerusalem. The King who had previously set an example of a Baal worshiper now set the example of a repentant sinner.,
609,King Manasseh Returns to Jerusalem,EDFC,EDFC,,"King Manasseh is returned to Jerusalem where he begins the process of undoing the damage he has done in leading Israel in the worship of Baal. He now ""knew that the Lord was God"". The King also repaired the altar of the Lord and commanded the people to only worship the God of Israel. CD#337 is the DFC and EDFC date for events happening between 611 BC and 607 BC.",
610,God Promises to Judge Israel With Assyria,EDFC,EDFC,,"As a result of King Manasseh’s restoration of Baal worship, God promises to send military judgment on Israel. 2 Kings 21:10 states: “the Lord spoke by His servants the Prophets” to King Manasseh. It is very possible that one of these Prophets is Nahum. It appears that within a few years of this event, the Prophet Nahum gives his prophecy about the fall of Nineveh as punishment for this and other attacks on Israel. CD#337 is the DFC and EDFC date for events happening between 611 BC and 607 BC.",
614,Manasseh Restores Baal Worship,EDFC,EDFC,,King Manasseh rebuilds the altars for Baal that had been destroyed by his father Hezekiah. He also restored wooden images in a similar way that King Ahab had done in Northern Israel. During his reign he shed much innocent blood. King Manasseh's actions caused Israel to sin and brought the wrath of God by means of the Assyrian army. CD#336 is the DFC and EDFC date for events happening between 616 BC and 612 BC.,
641,Reign of King Hezekiah (S) Ends,EST,EST,,The reign of Southern King Hezekiah lasts twenty-nine accession years and 355 days.,
641,Reign of King Manasseh (S) Begins,EST,EST,,Manasseh was twelve years old when he became King.,
653,Birth of King Manasseh,EST,EST,,Manasseh would become King of Israel at the age of twelve.,
656,King Hezekiah's Death Predicted by Isaiah,EST,EST,,"King Hezekiah is told by Isaiah: “Thus says the Lord: ‘Set your house in order, for you shall die, and not live.’ ” After receiving this news from the Prophet Isaiah, King Hezekiah prayed to the Lord and wept bitterly.",
656,Isaiah Returns With Good News for King Hezekiah,EST,EST,,Isaiah leaves the presence of the King and is walking away through the middle court. The Lord stops Isaiah and tells him to return to King Hezekiah and tell him he will be healed. King Hezekiah is instructed to go to the house of the Lord in three days. A lump of figs is placed on the boil and Hezekiah is healed. Hezekiah is told he will live for another fifteen years. The sundial goes back in time as a sign that Isaiah’s prophecy of Hezekiah’s healing is true.,
656,The Sundial is Turned Back in Time,EST,EST,,"Many translations read that “the sun returned ten degrees”. This is more likely “ten steps”. Some commentators speculate that a stairway had been built by King Ahaz to function as a sundial measurement devise. People could tell the time of day according to what step the shadow of the sundial was on. This author estimates that by moving ten steps backwards, time was reversed three hours. Since three hours would be repeated as the sundial resumed its normal pace, this particular day would be thirty hours in length. This was a very clear sign from the Lord that Hezekiah would not die from his illness and would live another 15 years. It is interesting to note that King Ahaz, father of King Hezekiah, had refused a sign from the Lord, according to Isaiah 7:10-12. If this author’s assessment is correct about the working of the sundial, this event also has a practical application to the solar calendar. From this point forward, a solar calendar day would be counted as starting at midnight instead of 6:00 p.m. of the previous day as it does on a Hebrew calendar. This theory is presented only as an interesting speculation.",
656,Babylonian Envoy Visits Hezekiah,EST,EST,,"Merodach-Baladan, the son of Baladan, King of Babylon, sent an envoy to visit King Hezekiah after he had recovered from his illness. Hezekiah foolishly showed them all the treasures, spices and precious ointment of the Temple and his dominion. King Hezekiah was trying to impress them with his riches in the hope that Babylon would be an ally against a future Assyrian threat. On this same date, 130 years later, Babylon would start burning the Temple in Jerusalem and take the Temple treasures and many of the people into exile.",
656,Isaiah Predicts Peace Now-Babylon Will Defeat Israel Later,EST,EST,,"When Isaiah hears about the Babylonian visitors, he shows up unannounced to confront King Hezekiah. Isaiah lets Hezekiah know that he will have peace now and for the rest of his reign. Isaiah tells King Hezekiah that his descendants will be carried off to Babylon as well as all the treasures he has shown to the visitors from Babylon.",
656,God's People are Comforted by Isaiah,EDFC,EDFC,,"In this section of the Book of Isaiah, the situation in Judah, 130 years later, is described when the Babylonians have defeated Israel and taken many into Exile. Isaiah gives comfort and assurance that some will return from captivity and God will not forsake Israel. More detailed information can be found in the footnotes of the MacArthur Study Bible and other commentaries.",
657,Assyria Attacks in Fourteenth Year of Hezekiah,EST,EST,,"King Sennacherib of Assyria attacked the fortified cities in Judah and around Jerusalem. King Hezekiah attempts to bribe King Sennacherib into not attacking Jerusalem by promising: “whatever you impose on me I will pay”. Hezekiah was assessed three hundred talents of silver and thirty talents of gold. King Hezekiah gave King Sennacherib “all the silver from the house of the Lord and in the treasuries of the King’s house”. King Hezekiah also stripped the gold from the doors of the Temple and gave it the King of Assyria. It is possible that King Sennacherib is not the King of Assyria mentioned in this part of Scripture. King Sennacherib appears to have ruled earlier. At this point in time in Scripture, there is a discrepancy of forty to sixty years in the text compared to current Bible chronology. The name of a foreign King in the Biblical text may be a translation problem due to the fact that foreign kings often go by different names. More research needs to be done to clarify this issue. The fact of a conflict with Assyria and Israel at this point in history is not questioned. Only the correct name of the foreign King is an issue that needs more research. It is estimated that this attack happens thirteen accession years and 151 days into the reign of Southern King Hezekiah.",
657,King Sennacherib of Assyria Boasts Against the Lord,EST,EST,,"After receiving the tribute of gold and silver from King Hezekiah, King Sennacherib sends messengers advising the people of Judah to disregard the advice of King Hezekiah who was relying on the protection of the Lord for deliverance. King Sennacherib’s messengers publically mock the God of Israel and threaten destruction to Jerusalem.",
657,Isaiah Assures the Deliverance of Israel From Assyria,EST,EST,,"When King Hezekiah heard the demands of the Assyrian Army, he tore his clothes and covered himself with sackcloth. This was a symbolic act of grief and repentance. Hezekiah was well aware that the nation needed to show repentance to the Lord. King Hezekiah led the way in demonstrating an attitude of repentance and asking for the Lord to intervene on Israel’s behalf. Isaiah appears at the request of the King to “pray for the remnant that is left”. At this point it had been forty-seven years since the death of King Uzziah and the vision of Isaiah described in Isaiah 6:1. Isaiah tells King Hezekiah to not be afraid. He had given this same assurance to King Ahaz in Isaiah 7:4. Isaiah states that the Assyrian Army will return to their land and not destroy Jerusalem. Isaiah also claims that the King of Assyria will fall by the sword in his own land.",
657,Sennacherib's Threat and Hezekiah's Prayer,EST,EST,,"In this section of Scripture, Assyria attacks King Tirhakah of Ethiopia after defeating the city of Lachish. This research estimates the dates of the reign of King Tirhakah from 674 BC to 648 BC. Assyria withdraws from the battle with Ethiopia and returns to Jerusalem. The Assyrian message to Israel is that they cannot trust in the words of King Hezekiah or the Word of the Lord. King Hezekiah asks God to show his power in saving Israel from defeat despite Israel’s unworthiness to receive such favor from the Lord.",
657,Isaiah Delivers God's Answer to Hezekiah's Prayer,EST,EST,,"Isaiah proclaims that God will deliver Israel from a defeat by Assyria. God clearly shows that He is the one true God and cannot be compared to the false gods of the nations conquered by Assyria. Isaiah’s message states that Assyria will not even enter the city of Jerusalem for a battle. The Lord says in Isaiah 37:35, “I will defend this city, to save it For My own sake and for My servant David’s sake”. The commentary in the ""MacArthur Study Bible (p. 1010)"", for Isaiah 37:32, makes a profound statement connecting these events to God’s promise in Isaiah 9:7. The ""Study Bible"" states: “The same confirmation of God’s promise in 9:7 assured the future establishment of the messianic kingdom. Deliverance from Sennacherib in Hezekiah’s day was a down payment on the literal, final restoration of Israel"".",
657,Assyria Defeated While Asleep,EST,EST,,"One night while the Assyrian army was sleeping, “the angel of the Lord went out, and killed in the camp of the Assyrians one hundred and eighty-five thousand”. This happened before an attack on Jerusalem had been made by the Assyrian Army. The few soldiers who were left and the Assyrian King returned home in defeat. The text has been translated to claim that this king was Sennacherib. This research suggests that the Assyrian king was probably a grandson of Sennacherib. More research will be done to clarify this apparent discrepancy.",
657,Assyrian King is Murdered by his Sons,DFC,DFC,,"After returning home in disgrace, the Assyrian King is murdered by his two sons, Adrammelech and Sharezer while worshiping in the temple of Nisroch his god. According to http//topicalbible.org/s/sharezer.htm, “The Babylonian Chronicle says concerning Sennacherib’s death: “On the 20th day of Tebet Sennacherib, king of Assyria, was slain by his son in a revolt”. This differs from the Old Testament account in that it speaks of only one murderer, and does not give his name. How the two accounts can be harmonized is still uncertain. Further research will likely show some of the currently named foreign kings are identified by the wrong name since the current Bible chronology dates for this period are not in harmony with Scripture by as much as 60 years. The King mentioned here is probably the son of Esarhaddon and possibly known in history as Sardanapalus who was apparently related to Ashurbanipal. CD#327 is the DFC and EDFC date for events happening between 661 BC and 657 BC.",
665,Hosea Predicts Fall of Northern Israel at Dawn,MDFC-1,MDFC-1,,,
665,End of Reign of Hoshea and Northern Kingdom,DFC,DFC,,"This end of the Northern Kingdom of Israel is usually stated as happening around 721 BC. The 721 BC date is inconsistent with the numbers in Scripture by about 60 years. It is assumed by many Bible Chronologists that there are about thirty-five to sixty years missing in the Assyrian dates. This research shows that the dates for the start of the Babylonian Exile in 526 BC, instead of 586 BC, and the end of the Northern Kingdom in 665 BC, instead of 721 BC, are significant mathematical errors deeply imbedded in current Bible chronology. This research concludes that many of the Assyrian dates are likely accurate and completely consistent with the numbers found in the Masoretic text of Scripture. The reign of Northern King Hoshea lasts nine accession years and 184 days. The DFC date for the end of the Northern Kingdom is six accession years and one day into the reign of Southern King Hezekiah. CD#326 is the DFC and EDFC date for events happening between 666 BC and 662 BC. This DFC date is extremely important in dating the reigns and events of Israel’s Kings. The Jerusalem Wall would be completed on this date in 455 BC (Neh. 6:15).",
667,Assyria Attacks in 7th Year of Hoshea and 4th of Hezekiah,MDFC-182,MDFC-182,,Assyria attacks Northern Israel seven accession years and one day into the reign of Northern King Hoshea. This same attack happens 182 days into the 4th non-accession year of the reign of Southern King Hezekiah. The attack lasts two accession years and 183 days. The battle ends in the sixth year of the reign of Southern King Hezekiah. The accurate dating of this event is necessary to develop a Bible chronology that is consistent with the dated events of the Masoretic Biblical text.,
668,Visions of Micah the Prophet,DFC,DFC,,"The Book of Micah gives important clues in the first verse to identify the time period of this Prophet. Micah’s life is during the reigns of Jotham, Ahaz, and Hezekiah in Judah. Micah predicts judgment on Samaria (Northern Kingdom) and Jerusalem in Chapter 1. Micah follows Isaiah and precedes Nahum. Micah is clearly a contemporary of Hosea. It is estimated that Micah is born around 700 BC, during the reign of Jotham. It is also estimated that Micah begins to be a Prophet in 670 BC. This is one year after the end of the reign of Ahaz and early in the reign of King Hezekiah. The visions of Micah seem to start in the third year of the reign of Hezekiah. The vision of the Messiah being born in Bethlehem Ephrathah, the most famous of his prophecies, is found in Micah 5:2. These visions happen about six months before Assyria attacks in the fourth year of Hezekiah’s reign. The Northern Kingdom would fall in 665 BC in the sixth year of Hezekiah’s reign.",
671,Reign of King Ahaz (South) Ends,DFC,DFC,,The reign of Southern King Ahaz lasts sixteen accession years and twenty-one days. CD#325 is the DFC and EDFC date for events happening between 671 BC and 667 BC. The DFC dating of the start of the reign of Southern King Ahaz is important in calculating the dated reigns of Israel’s Kings.,
671,Reign of King Hezekiah (S) Begins,DFC,DFC,,Hezekiah was twenty-five years old when he became King. The reign of Southern King Hezekiah begins three accession years and 183 days into the reign of Northern King Hoshea. CD#325 is the DFC and EDFC date for events happening between 671 BC and 667 BC.,
674,Reign of King Hoshea (North) Begins,MDFC-182,MDFC-182,,The reign of Northern King Hoshea begins twelve accession years and 202 days into the reign of Southern King Ahaz.,
685,Reign of King Pekah (North) Ends,DFC,DFC,,CD#322 is the DFC and EDFC date for events happening between 686 BC and 682 BC. Northern King Pekah reigns for twenty accession years and seventeen days. King Pekah’s reign ends sixteen days into the twentieth non-accession year of the reign of Southern King Jotham.,
686,Isaiah Sent to King Ahaz,EST,EST,,,
686,Isaiah Predicts Northern Israel Will Fall Within 65 Years,EST,EST,,Northern Israel falls in a little more than twenty-one years on the DFC date of Sunday September 8 - Elul 25 in 665 BC.,
686,Isaiah and the Immanuel Prophecy,EST,EST,,"King Ahaz refused to choose a sign which was taken as an attempt to weary God. God sends a message that he will give a sign in the future that a virgin will bear a Son who will be the Messiah. The Hebrew word used clearly means virgin as used in Genesis 24:43 and Proverbs 30:19. The name Immanuel means, ""God with us"", and refers to Jesus in Matthew 1:22-23.This is one of no less than a dozen prophecies in the Gospel of Matthew.",
687,Reign of King Jotham (S) Ends,EST,EST,,The reign of King Jotham (South) lasts sixteen accession years and 362 days.,
687,Reign of King Ahaz (S) Begins,EST,EST,,The reign of Southern King Ahaz begins seventeen accession years and 363 days into the reign of Northern King Pekah.,
687,Resin and Pekah Attack Jerusalem,EST,EST,,,
704,Reign of King Uzziah (Azariah) (S) Ends,EST,EST,,The reign of Southern King Uzziah (Azariah) lasts 52 accession years and 363 days. The reign of Southern King Uzziah (Azariah) lasts fifty-two accession years and 363 days. The dating of the end of King Uzziah’s reign is important to dating many of Israel’s Kings and Prophets.,
704,Reign of King Jotham (S) Begins,EST,EST,,The reign of Southern King Jotham begins one day into the second non-accession year of the reign of Northern King Pekah.,
704,Isaiah Called to be a Prophet,DFC,DFC,,The DFC date when Isaiah is called to be a Prophet and has a vision in the Temple is a Sabbath. It is calculated to be twelve days after the death of King Uzziah. CD#318 is the DFC and EDFC date for events happening between 706 BC and 702 BC. The DFC dating of the call of the Prophet Isaiah is an important date in calculating many events during the reigns of many of Israel’s Kings and their Prophets.,
705,Reign of King Pekahiah (North) Ends,EST,EST,,King Pekahiah reigns for one accession year and 352 days.,
705,Reign of King Pekah (North) Begins,EST,EST,,Northern King Pekah begins his reign fifty-one accession years and 362 days into the reign of Southern King Uzziah. The dating of this King’s reign is very important in calculating the end of the Northern Kingdom and the reigns of many of the Southern Kings of Israel.,
705,Estimated Start of Hosea as Prophet,EDFC,EDFC,,"Hosea follows Amos as a Prophet and is a contemporary of Isaiah and Micah. Hosea 1:1 lists the same Kings of Israel as Isaiah 1:1, identifying his time as a Prophet. It is estimated that he begins as a Prophet in the Northern Kingdom just before the death of King Uzziah in the South. King Pekah has just started his reign in Northern Israel. His time as a Prophet lasts about 40 years until the fall of the Northern Kingdom in 665 BC.",
707,Reign of King Menahem (North) Ends,DFC,DFC,,CD#317 is the DFC and EDFC date for events happening between 711 BC and 707 BC. Northern King Menahem reigns for ten accession years and 336 days. The DFC date for the end of this King’s reign is very important in accurately dating the reigns of the Kings of Israel.,
707,Reign of King Pekahiah (North) Begins,DFC,DFC,,CD#317 is the DFC and EDFC date for events happening between 711 BC and 707 BC. Northern King Pekahiah begins his reign 50 accession years and 10 days into the reign of Southern King Uzziah. This is an important DFC date in the reigns of the Kings of Israel.,
718,Co-Reign of King Zechariah (North) Ends?,MDFC-182,MDFC-182,,,
718,Six Month Reign of King Zechariah-Alone (N) Begins,MDFC-182,MDFC-182,,,
718,Six Month Reign of King Zechariah-Alone (North) Ends,DFC,DFC,,This is a critical DFC date in calculating the reigns of the Kings of Israel. CD#315 is the DFC and EDFC date for events happening between 721 BC and 717 BC. The six month sole reign of Northern King Zechariah is calculated to last 182 days.,
718,Reign of King Shallum (North) Begins,DFC,DFC,,This is a critical DFC date in calculating the reigns of the Kings of Israel. CD#315 is the DFC and EDFC date for events happening between 721 BC and 717 BC. Northern King Shallum begins his one month reign on the first day of the thirty-ninth DFC accession year of the reign of Southern King Uzziah.,
718,Reign of King Shallum (North) Ends,MDFC+30,MDFC+30,,,
718,Reign of King Menahem (North) Begins,MDFC+30,MDFC+30,,The reign of Northern King Menahem begins thirty-nine accession years and thirty-eight days into the reign of Southern King Uzziah.,
730,Reign of King Jeroboam II (North) Ends,EST,EST,,This date is one day more than an exact DFC match for the beginning of the reign of King Uzziah. The DFC start date of King Uzziah's reign is measured twenty-seven years and seven days from the end of Jeroboam II's reign. King Jeroboam II’s reign lasts 41 accession years and 363 days.,
730,Co-Reign of King Zechariah (North) Begins?,EST,EST,,"There is a question mark regarding this reign. It is unclear if this is a co-reign with Zechariah or if there is a lot of confusion about who is in charge of Northern Israel. It is clear that King Zechariah has a six month reign after this period of time but it is not clear what happens from 730 BC to 718 BC. There may have been no King in Northern Israel at this time. 721 BC is often given as the year for the fall of the North, but this date is mathematically inconsistent with Scripture by about sixty years. Northern Israel is defeated in 665 BC, according to the mathematics of the Biblical text if 1445 BC is the year of the Exodus. Ezra 4:2 is clear that many in Northern Israel and Samaria were brought there by King Esarhaddon of Assyria who ruled from 681 BC to 669 BC. It is also clear that Esarhaddon died about four years before the Fall of Northern Israel. The year of 721 BC for the Fall of the North appears to be about sixty years too soon when compared to the dates in the Bible.",
757,Reign of King Amaziah (South) Ends,DFC,DFC,,CD#307 is the DFC and EDFC date for events happening between 761 BC and 757 BC. The reign of Southern King Amaziah lasts 29 accession years and 188 days. This is an important DFC date in the Kings.,
757,Reign of King Uzziah (Azariah) (South) Begins,DFC,DFC,,Uzziah is sixteen years old when he becomes King. CD#307 is the DFC and EDFC date for events happening between 761 BC and 757 BC. The start of King Uzziah's reign is measured twenty-seven years and seven days from the end of Jeroboam II's reign. This is an important DFC date in the Kings.,
758,Israel is Attacked by Locusts,EDFC,EDFC,,The Prophet Joel was probably born near the end of the reign of Joash (South) in 788 BC. Joel was probably a contemporary of Jonah and Amos. The Book of Joel and the Book of Amos appear to have parallel verses. Joel 3:16 appears to reflect Amos 1:2. Joel 3:18 seems to reflect Amos 9:13. This devastating attack by locusts was a prophecy found in Amos 7:1-3. This prophecy by Amos probably happened around 759 BC. The locusts attack in 758 BC just before the end of the reign of Amaziah (South) and the start of reign of Uzziah in 757 BC. The locusts attack two years after the great earthquake in Israel during the reign of Jeroboam II in the Northern Kingdom.,
759,The Vision of Locusts by Amos,EDFC,EDFC,,Amos has a vision of locusts that attack the following year. This attack is recorded in Joel 1:1-14.,
760,A Great Earthquake Hits Israel,EDFC,EDFC,,"The ""MacArthur Study Bible"" notes for Amos 1:1 places this earthquake around 760 BC. This earthquake appears to be documented in other ancient documents.",
762,The Prophecy of Amos Begins,EDFC,EDFC,,"The Book of Amos is relatively easy to date in comparison to books like Jonah, Joel and Obadiah. Amos 1:1 states these events are in the days of King Uzziah of Judah (757 BC-704 BC) and Jeroboam II (772 BC-730 BC), son of Joash, in Northern Israel. The prophecy starts two years before a great earthquake. In the footnotes for this verse, in the “MacArthur Study Bible-p.1277”, the earthquake is dated around 760 BC. This puts the start of the Book of Amos in 762 BC. Amos is likely a contemporary of the Prophets Joel and Jonah.",
764,Jonah: The Reluctant Prophet,EDFC,EDFC,,"The story of Jonah is one of the most popular Old Testament tales told to children in Sunday school classes all over the world. Scripture clearly treats this as real history and not an allegory as many claim. The universal message is very clear that the God of the Bible is the God of all people, Jew or Gentile. The message is also clear that anyone willing to repent and turn to God can be saved. The story of Jonah contains theological messages for individuals and nations. Jonah is the only minor Prophet mentioned by name by Jesus. The author of this Timeline research dates this event near the year 764 BC. The year before there had been a severe plague which may have helped prepare the hearts of the people of Nineveh to repentance. This date would be in the eighth year of Jeroboam II (North) and the twenty-second year of Amaziah (South). The connection to the reign of Jeroboam II is found in 2 Kings 14:24. There is much agreement that the Assyrian King was Ashurdan III who ruled from 771 BC until 754 BC. Jonah was a contemporary of the Prophets Amos and Joel. Jonah is often identified by Jewish historians as being the son of the widow at Zarephath. The widow’s son was raised from the dead by Elijah in 1 Kings 17. Since the Zarephath incident was almost 100 years earlier, Jonah would more likely be a great-grandson of the widow if they were related.",
772,Reign of King Jehoash (Joash) (N) Ends,EST,EST,,King Jehoash reigns 16 accession years and 363 days.,
772,Reign of King Jeroboam II (North) Begins,EST,EST,,King Jeroboam II (North) begins his reign 182 days into the 14th accession year of the reign of Southern King Amaziah. This can also be stated as the 15th non-accession year.,
773,Birth of King Uzziah (Azariah) (South),DFC,DFC,,"Uzziah would begin his reign as King of the Southern Kingdom sixteen years and three days later. This is a very important DFC date for calculating and dating the reigns of the Kings of Israel. The accurate dating of the birth of King Uzziah is critical in dating many of the reigns of Kings in Northern Israel. The dating of the reign of this King is also important in dating the time periods of many Prophets such as Isaiah, Jonah and Amos. CD#304 is the DFC and EDFC date for events happening between 776 BC and 772 BC.",
786,Reign of King Joash (Jehoash) (S) Ends,MDFC-183,MDFC-183,,King Joash reigns in the Southern Kingdom for forty accession years and 180 days.,
786,Reign of King Amaziah (S) Begins,MDFC-183,MDFC-183,,Reign of King Amaziah (South) begins two accession years and 182 days into the reign of Northern King Jehoash (Joash). This is a very important DFC date for calculating and dating the reigns of the Kings of Israel. It is important to start this reign six months into the second year of King Jehoash’s (N) reign.,
789,Reign of King Jehoash (Joash) (North) Begins,DFC,DFC,,The start of King Jehoash (Joash) (North) is an important DFC date that is calculated to start four days before the end of the Northern reign of King Jehoahaz. CD#301 is the DFC and EDFC date for events happening between 791 BC and 787 BC. Jehoash begins his reign 362 days into the thirty-seventh accession year of Southern King Joash (Jehoash). This is a very important DFC date in estimating the dates of the reigns of Israel’s Kings.,
789,Reign of King Jehoahaz (North) Ends,EST,EST,,There is a four day overlap with the next Northern King’s reign. The reign of Northern King Jehoahaz lasts seventeen non-accession years plus one day.,
805,Reign of King Jehu (North) Ends,EST,EST,,Jehu reigns for twenty-eight accession years and 363 days.,
805,Reign of King Jehoahaz (North) Begins,EST,EST,,Jehoahaz begins his reign one day into the twenty-third non-accession year of the reign of Southern King Joash (Jehoash).,
827,Reign of Queen Athaliah (South) Ends,EST,EST,,"The reign of Queen Athaliah lasts for six accession years plus 360 days. Joash, the only living heir of King David, has been hidden from Queen Athaliah in the house of the Lord during her entire reign. Jehoiada, a priest, organizes the leaders and all of Israel to proclaim seven-year old Joash as the King. Queen Athaliah is escorted out of the Temple to the entrance of the Horse Gate and killed. Israel rejoices at her death and the Baal symbols are removed along with the priests of Baal who are also killed.",
827,Reign of King Joash (Jehoash) (S) Begins,EST,EST,,"Joash begins his reign when he is seven years old. At this point in history, he is the only living heir to the throne of King David. Joash begins his reign six accession years and 362 days into the reign of Northern King Jehu. According to the notes in the MacArthur Study Bible for 2 Chronicles 24:1-27, Joel prophesied during the reign of Southern King Joash. The Book of Joel provides important background information regarding this portion of Biblical history.",
834,Reign of King Jehoram (Joram) (South) Ends,EST,EST,,"It appears that King Jehoram’s son, Ahaziah had a joint reign for part or all his one year reign. King Jehoram’s (South) reign is calculated to end on the same date as his son, Ahaziah (South) and King Joram (North). Southern King Ahaziah and Northern King Joram are both killed by Jehu making him the King in Northern Israel. The reign of Southern King Jehoram (Joram) lasted seven accession years and 14 days. This can also be stated as eight non-accession years. Scripture says his reign lasted eight years.",
834,Reign of King Ahaziah (South) Ends,EST,EST,,The one year reign of Ahaziah (S) is not counted in the total years from Creation. It is the only concurrent reign in the Southern Kings of Israel. The reign of King Ahaziah (South) ends 1 year and 13 days into his reign when he is mortally wounded by Jehu. Scripture states his reign with his father lasts for one year. This dated reign in the text of Scripture clearly show this to be a concurrent reign.,
834,Reign of King Joram (Jehoram) (North) Ends,EST,EST,,King Joram (Jehoram) (North) ends his reign after 12 accession years and 363 days.,
834,Reign of King Jehu (North) Begins,EST,EST,,Jehu’s Reign in the Northern Kingdom begins when he kills King Joram (Jehoram) of the North. Jehu also kills King Ahaziah of the South. Jehu begins his reign fourteen days into the eighth non-accession year of King Jehoram (Joram) of Southern Israel.,
834,Reign of Queen Athaliah (South) Begins,EST,EST,,"Queen Athaliah’s reign is calculated to start her reign one day after her son, King Ahaziah, is mortally wounded by Jehu. Jehu also killed Northern Israel's King, Joram. This double murder made Jehu the King of Northern Israel. When Athaliah learns that her son has been murdered by Jehu, she kills all the royal heirs of the Southern Kingdom, except Joash. She then declares herself the Queen of Israel. Joash, the infant son of King Ahaziah, is hidden along with the infant’s nurse in the house of the Lord for six years. When Queen Athaliah is murdered, almost seven years later, Joash is made the King of Israel at the age of seven.",
835,Reign of King Ahaziah (South) Begins,DFC,DFC,,"King Ahaziah (South) begins his reign in the 11th and 12th year of King Joram (Jehoram) (North) according to 2 Kings 8:25-26 and 9:29. The fact that both years are mentioned seems to pinpoint the DFC date in the year 835 BC. King Ahaziah begins his reign eleven accession years and 356 days into the reign of King Joram (Jehoram) (North). CD#292 is the DFC and EDFC date for events happening between 836 BC and 832 BC. This is one of two concurrent reigns in the Southern Kings of Israel. This is a good example of how a precise date is needed to be consistent with the dated years in the text of Scripture. These ""exact dates"" function like marks on a ""ruler of time"" to line up the years with the many exact stated dates in Scripture when the month and day of the month are given.",
